South Bounding, West Bounding, North Bounding, East Bounding
0.50961,13.52646,2.37366,15.56782
-0.93499,13.21902,0.92821,15.26008
-2.38028,12.91107,-0.5165,14.95317
-3.82955,12.60086,-1.96555,14.64602
0.50934,8.88108,2.37341,10.92158
-0.9356,8.57283,0.92804,10.6145
1.95801,12.27479,3.82137,14.31768
0.50816,11.96694,2.37239,14.00795
-0.9368,11.65934,0.92679,13.70038
-2.38182,11.35141,-0.51814,13.39305
-2.38144,14.43614,-0.51765,16.47803
-3.82648,14.1271,-1.96262,16.17167
-5.27558,13.81583,-3.41165,15.86443
1.95672,13.80655,3.82053,15.84929
0.51114,13.50008,2.37529,15.54025
0.50858,11.95883,2.37195,13.99954
-2.38071,14.43729,-0.51718,16.47857
-3.83007,14.12723,-1.96641,16.17122
-5.27529,13.81734,-3.41097,15.8648
1.95661,10.72271,3.82029,12.76474
0.51152,10.41567,2.37495,12.45614
-2.38301,9.79905,-0.51985,11.84059
-3.82846,9.49028,-1.9644,11.53412
1.95751,12.25845,3.82136,14.30016
0.51236,11.95152,2.37579,13.99196
-0.93739,11.64333,0.9265,13.68319
-2.38226,11.33491,-0.51895,13.37672
-2.38234,14.42589,-0.51883,16.46695
-3.82759,14.11679,-1.96369,16.16072
-5.27659,13.80536,-3.41285,15.85335
1.95779,10.71692,3.82143,12.75872
1.95444,13.80867,3.81856,15.85022
0.50961,13.50146,2.37292,15.54198
-0.93587,13.19402,0.92786,15.23422
-2.38092,12.88584,-0.51741,14.92722
0.51205,8.86735,2.37549,10.90758
-0.93719,8.55918,0.92614,10.59924
-3.82767,7.94191,-1.96352,9.98598
-2.38068,14.43358,-0.51691,16.47486
-3.82971,14.12359,-1.96629,16.16755
-5.27513,13.81357,-3.4108,15.86133
1.95672,10.72497,3.82092,12.76705
0.51209,10.41796,2.37519,12.45882
1.95641,13.81802,3.82069,15.8601
-5.27311,12.27525,-3.40923,14.32358
0.51216,8.88619,2.37592,10.92691
-0.93725,8.57787,0.92622,10.61842
-3.82745,7.96102,-1.96354,10.00501
-2.38253,14.44587,-0.51875,16.48742
-3.82741,14.13664,-1.96381,16.18157
1.95669,10.72821,3.82038,12.77097
-2.3829,9.80492,-0.51927,11.84702
-3.82758,9.49584,-1.96416,11.54077
-0.9345,13.20226,0.92909,15.24331
-2.38385,12.89334,-0.52026,14.93549
-0.9364,8.56421,0.92727,10.60585
-3.82746,11.03753,-1.96347,13.08245
-2.3829,14.43674,-0.51979,16.47931
-3.82809,14.12807,-1.96428,16.17269
-5.27258,13.81784,-3.40898,15.86688
-3.83005,9.49753,-1.96668,11.54266
1.95468,13.82425,3.81844,15.86685
-2.38046,12.90184,-0.51684,14.94402
-0.93717,8.57118,0.9263,10.61247
-2.38211,8.26309,-0.5187,10.30573
-2.383,14.43794,-0.51984,16.48038
-3.82808,14.12913,-1.96443,16.17395
0.50898,13.50165,2.37211,15.54318
-2.38142,12.88643,-0.5179,14.92903
0.50985,8.86454,2.37323,10.90558
-0.93576,8.55725,0.92821,10.59774
-2.38019,8.24918,-0.51722,10.29121
-2.38247,14.42919,-0.51968,16.47205
-3.82792,14.12108,-1.9641,16.1652
-5.27263,13.81091,-3.4089,15.85938
1.95623,10.72237,3.82006,12.76438
0.51139,10.41561,2.37461,12.45622
-0.93647,13.19971,0.92694,15.24024
-2.3816,12.89159,-0.51801,14.93334
-3.82633,12.58268,-1.96309,14.62693
-5.27592,12.27188,-3.41182,14.3199
-3.82947,14.13928,-1.96587,16.18333
-5.27443,13.82962,-3.41071,15.87715
-2.38171,12.90368,-0.51829,14.94496
1.95637,9.18758,3.8201,11.22892
0.51151,8.88083,2.37468,10.92099
-0.93418,8.57345,0.92966,10.61348
-2.38329,8.26468,-0.52021,10.30576
-2.38318,14.44576,-0.51967,16.48668
-3.82801,14.13675,-1.96478,16.18044
1.95485,13.8352,3.81865,15.87759
-0.93536,13.2201,0.9282,15.26086
-2.38056,12.91144,-0.51666,14.95365
-3.82948,12.60128,-1.96578,14.64605
-5.27455,12.29112,-3.41016,14.33942
-0.9364,8.58466,0.92772,10.62651
-2.38109,8.2767,-0.51743,10.31851
-2.38104,11.36825,-0.51737,13.41017
-2.38029,12.90159,-0.51678,14.94458
-3.82947,12.5916,-1.96555,14.63597
-2.38333,8.26404,-0.52013,10.30618
1.95547,12.27971,3.81922,14.32246
-2.3825,14.44857,-0.51913,16.49038
-3.8278,14.13877,-1.96354,16.18382
1.95778,9.18643,3.8221,11.22917
-2.3806,14.44539,-0.51683,16.48746
-3.82999,14.13536,-1.96596,16.18006
-0.93519,13.19941,0.92882,15.24091
-2.38424,12.89042,-0.52073,14.93291
1.95696,9.17767,3.82069,11.2206
0.51152,8.87061,2.37563,10.91188
-0.93746,8.56225,0.926,10.60326
1.95654,12.26901,3.82088,14.31215
-2.3831,14.43777,-0.51954,16.48
-3.82809,14.12888,-1.96435,16.17364
-0.93714,13.2175,0.92677,15.25932
-2.38193,12.9095,-0.51838,14.95164
1.95601,9.19329,3.81984,11.23612
-0.93692,11.66675,0.92689,13.70798
-2.38168,11.35892,-0.51819,13.40107
1.95509,13.82061,3.8186,15.86309
-2.38051,12.89768,-0.51656,14.93992
1.95655,9.18957,3.82013,11.23223
0.5112,8.88233,2.37511,10.92377
1.95518,12.27246,3.81862,14.31464
-2.38197,14.43451,-0.5188,16.47584
-3.82699,14.12547,-1.96341,16.17002
1.95772,13.80641,3.82164,15.84861
-0.93702,13.19095,0.92685,15.23177
-2.38178,12.88314,-0.51854,14.92472
1.95806,9.17875,3.82187,11.22103
0.50847,8.87072,2.37226,10.91147
-2.38186,8.25547,-0.51811,10.297
-3.82668,7.94642,-1.9632,9.99049
1.95838,12.27474,3.82188,14.31658
-5.27586,10.73112,-3.41194,12.77943
-2.3822,14.44814,-0.51887,16.48956
1.95642,10.73071,3.82013,12.77245
-2.3833,9.80738,-0.51991,11.84857
1.95641,13.81872,3.82035,15.86082
0.51136,13.51196,2.37476,15.55213
-0.93403,13.20463,0.92971,15.24467
1.95802,9.18351,3.8215,11.2252
0.50817,8.87564,2.37193,10.91597
-0.9368,8.56833,0.92657,10.60827
-2.38202,8.26058,-0.5186,10.30156
-3.8272,7.95165,-1.96349,9.99547
1.9574,12.27497,3.82097,14.31711
0.51184,11.96818,2.37573,14.00831
-0.93731,11.66009,0.92577,13.7
