South Bounding, West Bounding, North Bounding, East Bounding
0.5015,13.4797,2.3845,15.5242
1.9489,9.149,3.8328,11.1959
-0.9421,11.6211,0.9412,13.6659
-2.3918,11.3124,-0.5084,13.3581
-5.2824,10.6929,-3.3981,12.7459
-2.3917,14.3983,-0.5081,16.4444
-3.8367,14.0898,-1.9535,16.1379
-5.2823,13.7793,-3.3982,15.8321
1.9479,10.6887,3.8321,12.7353
-3.8382,9.4568,-1.9541,11.5053
-2.3884,12.8622,-0.5047,14.908
1.9492,9.1549,3.8334,11.2021
0.504,8.8487,2.3874,10.8933
-0.9459,8.5403,0.9378,10.5851
-2.3915,8.2322,-0.5077,10.2783
1.9466,12.238,3.8305,14.2844
-2.3897,14.4006,-0.5063,16.4468
-3.8354,14.0916,-1.9514,16.1402
-5.2847,13.7808,-3.401,15.833
-0.946,10.0658,0.9375,12.1101
-2.3917,9.7575,-0.5079,11.8036
-5.2824,9.1386,-3.3985,11.1909
-0.945,13.1549,0.9385,15.1998
-2.3907,12.847,-0.507,14.8926
-3.8362,12.5382,-1.9523,14.5864
-5.2814,12.2279,-3.3975,14.2804
-2.3899,8.2034,-0.5064,10.2493
-0.9428,11.5992,0.9408,13.6434
-2.3887,11.2908,-0.5047,13.337
-2.3882,14.3794,-0.5045,16.4253
-3.8382,14.0699,-1.9544,16.1179
-0.9445,13.1477,0.9392,15.192
-2.3905,12.8396,-0.5064,14.8853
-3.8359,12.5305,-1.9523,14.5788
1.9479,9.1438,3.8316,11.1895
-0.9439,8.5292,0.9398,10.5736
-2.3897,8.2214,-0.5059,10.2667
1.9499,12.2391,3.8336,14.2853
-0.942,11.6251,0.9418,13.6696
-2.3919,11.316,-0.5083,13.362
-3.8373,14.092,-1.9536,16.14
-5.2831,13.7815,-3.3988,15.8342
1.947,10.6797,3.8309,12.7258
-0.9447,10.0656,0.9389,12.1103
-2.3903,9.7581,-0.5068,11.8032
-3.8364,9.449,-1.9522,11.4976
-5.2817,9.1387,-3.3977,11.1911
-3.8368,12.5392,-1.9525,14.5875
-5.2822,12.2289,-3.3981,14.2812
1.9481,9.1377,3.8325,11.184
0.5024,8.8311,2.3862,10.8758
-0.9438,8.5237,0.94,10.5682
-2.3916,11.3085,-0.5075,13.3545
-3.8371,10.9998,-1.9534,13.0479
-5.283,10.6898,-3.3987,12.7418
-3.8362,14.095,-1.9526,16.143
-5.2824,13.7846,-3.3976,15.8372
1.9479,10.6903,3.8319,12.7368
-0.9441,10.0766,0.9398,12.1213
-2.3902,9.7685,-0.5061,11.8146
-3.8356,9.4599,-1.9519,11.5082
-0.9449,13.1623,0.9386,15.2071
-2.391,12.8547,-0.5071,14.9002
1.9508,9.1371,3.8347,11.1835
0.5002,8.8294,2.3842,10.8743
-0.9457,8.5225,0.9381,10.5669
-2.3917,8.2146,-0.508,10.2605
-3.8378,7.906,-1.9536,9.9542
1.9506,12.2274,3.8344,14.2737
0.5001,11.9196,2.384,13.9645
-0.946,11.6128,0.9379,13.657
-2.392,11.3049,-0.5082,13.3508
-3.8381,10.9963,-1.9539,13.0446
-5.2835,10.6861,-3.3997,12.7387
-5.2816,13.7786,-3.3975,15.8312
1.9505,10.6957,3.8344,12.7418
0.4999,10.3878,2.3839,12.4327
-0.9416,10.0817,0.942,12.1262
-2.3923,9.773,-0.5084,11.8187
-3.8384,9.4641,-1.9542,11.5126
-3.8357,12.5616,-1.9518,14.6099
-5.2815,12.2518,-3.3974,14.3038
-2.3907,8.2322,-0.5069,10.2779
-0.9421,11.6319,0.9413,13.6765
-2.3887,11.3242,-0.5044,13.3698
-3.8388,11.0146,-1.9551,13.063
-5.2849,10.7048,-3.4005,12.7571
-5.2827,13.7926,-3.3988,15.8454
-2.3922,9.7931,-0.5083,11.8384
-5.2831,12.2654,-3.3988,14.318
1.9468,9.1475,3.8309,11.1944
0.5004,8.8411,2.3846,10.8862
-0.9456,8.5339,0.938,10.5793
-2.392,8.2264,-0.5078,10.2724
-0.9453,11.6155,0.9387,13.66
-2.3914,11.3073,-0.5076,13.354
-5.2835,13.7749,-3.3994,15.8275
1.9498,10.6718,3.8341,12.718
0.5035,10.3654,2.3875,12.41
-2.3894,9.7507,-0.5053,11.7964
-3.8354,9.4423,-1.9515,11.4904
-3.8363,12.5316,-1.9525,14.5798
-5.2828,12.2219,-3.398,14.2739
1.9467,9.1222,3.8305,11.1684
0.5,8.8157,2.3843,10.8604
-0.942,8.5097,0.9419,10.5541
-2.3886,8.2021,-0.5045,10.2478
-0.9458,11.5926,0.9379,13.6369
-5.2837,13.7534,-3.3995,15.8046
1.9496,13.7465,3.8336,15.792
0.5028,13.4404,2.3869,15.4842
-0.9439,13.1329,0.9402,15.177
-2.3905,12.8258,-0.5066,14.8705
-5.2834,12.2076,-3.3992,14.2587
-0.9457,8.5095,0.9382,10.5526
-2.3882,8.2026,-0.5041,10.2467
-5.2833,10.681,-3.3991,12.7319
-2.3899,14.3938,-0.5056,16.4384
-3.8363,14.0853,-1.9523,16.1328
-3.8385,9.4391,-1.9546,11.4866
-5.2854,9.13,-3.4008,11.1807
-3.8351,12.5286,-1.9509,14.5754
-5.282,12.2184,-3.3972,14.2696
1.9497,9.1219,3.8339,11.1672
0.5026,8.8158,2.3869,10.8588
-0.9443,8.5086,0.9398,10.5521
-2.391,8.2013,-0.5072,10.2456
-2.3895,11.2936,-0.5057,13.3381
-3.8367,10.9858,-1.9521,13.0324
-5.2831,10.6755,-3.3988,12.7267
-3.8368,14.0784,-1.9523,16.125
1.948,9.1306,3.8326,11.1757
-0.9457,8.5173,0.9385,10.5605
-2.3884,8.2105,-0.504,10.2556
-2.3902,11.301,-0.5062,13.3463
-2.3887,14.3938,-0.5045,16.4388
-3.8358,14.0854,-1.9512,16.1329
-5.2825,13.7754,-3.3978,15.827
